E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.17. Número de viviendas transmitidas por Distrito y Barrio según Años de posesión
;;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024
;;Total;0-2 años;2-5 años;5-10 años;10 y más años;Total;0-2 años;2-5 años;5-10 años;10 y más años;Total;0-2 años;2-5 años;5-10 años;10 y más años;Total;0-2 años;2-5 años;5-10 años;10 y más años;Total;0-2 años;2-5 años;5-10 años;10 y más años;Total;0-2 años;2-5 años;5-10 años;10 y más años;Total;0-2 años;2-5 años;5-10 años;10 y más años
01. Centro;011. Palacio;"199,00";"27,00";"19,00";"49,00";"104,00";"140,00";"35,00";"31,00";"9,00";"65,00";"109,00";"35,00";"13,00";"6,00";"55,00";"113,00";"14,00";"15,00";"4,00";"80,00";"146,00";"16,00";"24,00";"15,00";"91,00";"195,00";"62,00";"31,00";"25,00";"77,00";"204,00";"30,00";"28,00";"39,00";"107,00"
01. Centro;016. Sol;"85,00";"13,00";"11,00";"10,00";"51,00";"58,00";"11,00";"2,00";"12,00";"33,00";"51,00";"17,00";"10,00";"5,00";"19,00";"80,00";"16,00";"18,00";"7,00";"39,00";"105,00";"17,00";"12,00";"23,00";"53,00";"92,00";"15,00";"13,00";"15,00";"49,00";"95,00";"33,00";"11,00";"18,00";"33,00"
02. Arganzuela;021. Imperial;"79,00";"7,00";"4,00";"6,00";"62,00";"87,00";"6,00";"2,00";"4,00";"75,00";"92,00";"8,00";"3,00";"4,00";"77,00";"108,00";"10,00";"5,00";"3,00";"90,00";"143,00";"14,00";"2,00";"8,00";"119,00";"118,00";"15,00";"8,00";"7,00";"88,00";"149,00";"19,00";"19,00";"9,00";"102,00"
02. Arganzuela;022. Acacias;"23,00";"4,00";"5,00";"5,00";"9,00";"21,00";"5,00";"0,00";"3,00";"13,00";"27,00";"9,00";"2,00";"4,00";"12,00";"43,00";"5,00";"10,00";"4,00";"24,00";"121,00";"11,00";"12,00";"10,00";"88,00";"134,00";"24,00";"9,00";"10,00";"91,00";"141,00";"18,00";"8,00";"18,00";"97,00"
02. Arganzuela;023. Chopera;"113,00";"51,00";"51,00";"3,00";"8,00";"48,00";"11,00";"32,00";"2,00";"3,00";"27,00";"12,00";"6,00";"4,00";"5,00";"44,00";"2,00";"23,00";"9,00";"10,00";"84,00";"12,00";"14,00";"13,00";"45,00";"89,00";"22,00";"10,00";"11,00";"46,00";"115,00";"25,00";"20,00";"20,00";"50,00"
02. Arganzuela;024. Legazpi;"146,00";"2,00";"17,00";"18,00";"109,00";"85,00";"3,00";"18,00";"10,00";"54,00";"52,00";"3,00";"1,00";"4,00";"44,00";"104,00";"5,00";"6,00";"11,00";"82,00";"123,00";"5,00";"6,00";"8,00";"104,00";"126,00";"6,00";"22,00";"9,00";"89,00";"140,00";"6,00";"4,00";"12,00";"118,00"
09. Moncloa-Aravaca;091. Casa de Campo;"74,00";"5,00";"2,00";"7,00";"60,00";"89,00";"6,00";"3,00";"2,00";"78,00";"73,00";"3,00";"2,00";"2,00";"66,00";"106,00";"4,00";"6,00";"3,00";"93,00";"105,00";"4,00";"8,00";"2,00";"91,00";"82,00";"4,00";"6,00";"4,00";"68,00";"107,00";"7,00";"3,00";"6,00";"91,00"
10. Latina;101. Los Cármenes;"86,00";"9,00";"6,00";"10,00";"61,00";"90,00";"6,00";"2,00";"8,00";"74,00";"67,00";"6,00";"7,00";"3,00";"51,00";"96,00";"4,00";"13,00";"8,00";"71,00";"101,00";"5,00";"12,00";"5,00";"79,00";"95,00";"7,00";"16,00";"5,00";"67,00";"113,00";"10,00";"6,00";"13,00";"84,00"
